,TravelMotives,Population,TravelModes,RegionCharacteristics,Periods,Trip in a year,Km travelled in a year,Hours travelled in a year,UserId
672,2030210,A048709,T001093,PV22    ,2018JJ00,      61,    1117,    34.1,1444
673,2820740,A048710,A018985,PV24    ,2021JJ00,       .,       .,       .,2280
674,2030220,A048709,A048583,PV29    ,2021JJ00,      35,    1149,    20.5,3409
675,2030220,A048709,A018982,PV28    ,2021JJ00,       2,      42,     2.0,1036
676,2820740,A048710,A018981,PV25    ,2020JJ00,       .,       .,       .,2066
677,2030200,A048709,A018984,PV22    ,2020JJ00,      58,     156,    12.3,2869
678,2030250,A048709,A018986,,2020JJ00,       .,       .,       .,1730
679,2030240,A048710,A018985,PV24    ,2019JJ00,      40,     125,    27.8,622
680,2820740,A048710,A018985,PV31    ,2018JJ00,       .,       .,       .,3492
681,2030230,A048710,T001093,PV20    ,2021JJ00,     116,    1789,    70.5,1243
682,2030190,A048709,A018985,PV23    ,2020JJ00,       .,       .,       .,2366
683,2820740,A048709,A048583,PV23    ,2018JJ00,      15,     485,     8.5,1095
684,2030190,A048710,A048583,PV28    ,2020JJ00,       8,      87,     2.7,762
685,2030200,A048709,A018986,PV21    ,2021JJ00,       .,       .,       .,167
686,2030220,A048709,A018984,PV26    ,2021JJ00,      22,      82,     6.2,2419
687,2030240,A048709,A018986,PV30    ,2019JJ00,       .,       .,       .,3024
688,2030170,A048710,A048583,PV22    ,2020JJ00,      83,    2092,    39.5,3413
689,2030210,A048709,A018984,PV31    ,2020JJ00,      11,      52,     4.1,2072
690,2820740,A048709,A018984,PV24    ,2021JJ00,       .,       .,       .,2799
691,2030240,A048709,T001093,PV25    ,2021JJ00,     129,    1044,   122.6,433
692,2820740,A048710,A018986,PV24    ,2020JJ00,       .,       .,       .,3285
693,2030210,A048710,A018986,PV26    ,2020JJ00,       .,       .,       .,946
694,2030240,A048709,A018985,PV21    ,2020JJ00,      81,     281,    61.4,1
695,2030250,A048710,A018986,PV20    ,2021JJ00,       .,       .,       .,354
696,2030240,A048710,A048583,PV31    ,2018JJ00,       .,       .,       .,1477
697,2030190,A048709,A048584,PV29    ,2019JJ00,       .,       .,       .,813
698,2030240,A048709,A048583,PV30    ,2020JJ00,       7,     157,     8.2,2085
699,2030230,A048709,A018984,PV31    ,2022JJ00,      36,     194,    16.2,893
700,2030190,A048710,A018984,PV27    ,2022JJ00,       9,      25,     2.2,1266
701,2030240,A048710,A018981,PV27    ,2022JJ00,       .,       .,       .,3247
702,2030220,A048710,A048583,PV20    ,2020JJ00,      27,     489,     9.9,752
703,2030240,A048709,A018984,PV31    ,2020JJ00,      11,     231,    23.7,1270
704,2820740,A048709,A018982,PV27    ,2022JJ00,       .,       .,       .,321
705,2030230,A048710,A018981,PV20    ,2018JJ00,       .,       .,       .,2273
706,2030230,A048710,A018984,PV27    ,2019JJ00,      67,     254,    25.1,1435
707,2030190,A048709,A018984,PV21    ,2022JJ00,       .,       .,       .,729
708,2030240,A048710,A018985,PV24    ,2018JJ00,      33,     108,    25.1,2555
709,2030210,A048709,A018985,PV28    ,2019JJ00,       3,      12,     0.6,1903
710,2030230,A048710,A048584,PV30    ,2022JJ00,      32,     624,    15.2,2713
711,2030250,A048709,A018986,PV22    ,2020JJ00,       .,       .,       .,1902
712,2030250,A048710,A018986,PV28    ,2018JJ00,       .,       .,       .,713
713,2030190,A048709,A018982,PV23    ,2018JJ00,       .,       .,       .,2989
714,2030250,A048709,T001093,PV21    ,2021JJ00,     114,    1213,    32.7,1347
715,2030190,A048710,A018981,PV29    ,2021JJ00,       .,       .,       .,1095
716,2030190,A048710,T001093,PV26    ,2020JJ00,      27,     206,     7.9,1013
717,2030220,A048710,T001093,PV28    ,2020JJ00,      75,    1364,    35.0,2308
718,2030250,A048710,A048583,PV27    ,2018JJ00,      47,     636,    16.4,1386
719,2030190,A048709,A018981,PV20    ,2020JJ00,       .,       .,       .,697
720,2030230,A048710,A048584,PV22    ,2020JJ00,      29,     464,    10.3,238
721,2030190,A048710,A018982,PV28    ,2022JJ00,       2,      15,     1.2,3297
722,2030240,A048709,A018981,PV26    ,2021JJ00,       .,       .,       .,2098
723,2030220,A048710,T001093,PV29    ,2019JJ00,      82,    2185,    44.1,3041
724,2030240,A048709,A018984,PV23    ,2021JJ00,      17,     265,    28.3,1373
725,2030240,A048710,A048584,PV26    ,2019JJ00,       .,       .,       .,2626
726,2030230,A048710,A018982,PV20    ,2020JJ00,       .,       .,       .,2991
727,2030220,A048710,A048583,PV27    ,2020JJ00,      23,     575,,2917
728,2030170,A048710,A048583,PV22    ,2021JJ00,      86,    2319,    41.0,1479
729,2030230,A048710,A018982,PV30    ,2018JJ00,       .,       .,       .,483
730,2030210,A048710,A018981,PV22    ,2022JJ00,       .,       .,       .,2844
731,2030220,A048709,T001093,PV21    ,2022JJ00,     102,    2227,    50.4,1709
732,2030210,A048710,T001093,PV29    ,2020JJ00,      51,     588,    22.2,927
733,2030200,A048710,A018981,PV31    ,2022JJ00,       .,       .,       .,880
734,2030230,A048710,A018985,PV30    ,2020JJ00,      28,      86,    17.8,2126
735,2030170,A048710,A018982,PV23    ,2020JJ00,       .,       .,       .,3200
736,2030220,A048710,A048584,PV28    ,2020JJ00,      15,     410,     8.6,3236
737,2030190,A048710,A048583,PV26    ,2022JJ00,      11,     154,     4.0,2342
738,2030250,A048709,A018986,PV31    ,2018JJ00,       .,       .,       .,1135
739,2820740,A048710,T001093,PV20    ,2019JJ00,      34,     979,    18.9,675
740,2030190,A048709,A018985,PV23    ,2021JJ00,       .,       .,       .,1835
741,2030200,A048710,A018984,PV20    ,2019JJ00,      75,     154,    14.0,347
742,2030200,A048709,A018984,PV25    ,2021JJ00,      56,     124,    11.2,723
743,2820740,A048709,A018981,PV22    ,2019JJ00,       .,       .,       .,3315
744,2030230,A048709,A018982,PV24    ,2018JJ00,       .,       .,       .,2942
745,2030240,A048709,A018986,PV25    ,2018JJ00,       .,       .,       .,1277
746,2030170,A048710,T001093,PV29    ,2018JJ00,     192,    2975,    67.6,242
747,2030240,A048709,A048583,PV31    ,2018JJ00,       .,       .,       .,2061
748,2030200,A048710,A018981,PV27    ,2021JJ00,       .,       .,       .,817
749,2030250,A048710,A048584,PV28    ,2022JJ00,       9,     174,     4.0,1945
750,2030170,A048710,A048584,PV28    ,2022JJ00,       4,      66,     1.7,3377
751,2820740,A048709,A048583,PV30    ,2018JJ00,      16,     563,     9.7,3256
752,2030170,A048710,A018986,PV30    ,2018JJ00,      16,     375,     8.2,1153
753,2030200,A048709,T001093,PV28    ,2020JJ00,     208,     861,    47.8,1069
754,2030230,A048710,A018984,PV22    ,2020JJ00,      36,     139,    13.6,3424
755,2030230,A048710,A018984,PV30    ,2020JJ00,      37,     181,    18.6,3006
756,2030240,A048709,A018982,PV27    ,2022JJ00,       .,       .,       .,1848
757,2030220,A048709,A018982,PV29    ,2021JJ00,       .,       .,       .,2317
758,2030170,A048709,A018982,PV26    ,2020JJ00,       .,       .,       .,2455
759,2030200,A048709,A048583,PV23    ,2020JJ00,      87,     512,    17.6,1365
760,2030190,A048709,T001093,PV27    ,2022JJ00,      30,     210,     9.5,3449
761,2030230,A048709,A048584,PV26    ,2018JJ00,      25,     658,    15.3,1262
762,2030190,A048710,A048583,PV26    ,2018JJ00,      13,     199,     5.2,3428
763,2030220,A048709,A018985,PV28    ,2022JJ00,      13,      15,     2.5,1748
764,2030220,A048709,A018986,,2020JJ00,       .,       .,       .,2296
765,2030250,A048710,A018985,PV27    ,2022JJ00,      22,      18,     3.6,3495
766,2030190,A048709,A048584,PV25    ,2022JJ00,       .,       .,       .,696
767,2030210,A048710,A018984,PV21    ,2018JJ00,      41,     178,    11.9,1818
768,2030240,A048710,A018984,PV24    ,2019JJ00,      11,     176,    18.3,1141
769,2030190,A048710,A048583,PV29    ,2020JJ00,       .,       .,       .,2916
770,2030210,A048709,T001093,PV23    ,2019JJ00,      58,     822,    27.8,1188
771,2030210,A048709,A048584,PV29    ,2019JJ00,       .,       .,       .,2961
772,2820740,,A048583,PV31    ,2020JJ00,      14,     383,     6.7,374
773,2030200,A048709,A048584,PV22    ,2022JJ00,       .,       .,       .,1036
774,2030230,A048709,A048583,PV31    ,2019JJ00,      66,     896,    21.8,3297
775,2030190,A048709,A018984,PV28    ,2021JJ00,       8,      25,     2.2,1669
776,2030200,A048710,A048583,PV25    ,2021JJ00,      78,     537,    17.6,213
777,2030250,A048710,A018985,PV25    ,2020JJ00,      15,      10,     2.0,1089
778,2030240,A048709,A018982,PV29    ,2019JJ00,       .,       .,       .,366
779,2030190,A048710,A048583,PV24    ,2018JJ00,       .,       .,       .,1768
780,2030230,A048710,A018985,PV31    ,2020JJ00,      25,      72,    14.2,2782
781,2030210,A048709,A048583,PV21    ,2022JJ00,       .,       .,       .,755
782,2030230,A048709,A018981,PV26    ,2022JJ00,       5,     230,     7.6,252
783,2030200,A048709,A018981,PV24    ,2021JJ00,       .,       .,       .,3487
784,2030230,A048710,A018986,PV25    ,2020JJ00,       .,       .,       .,2591
785,2030170,A048710,A018982,PV26    ,2021JJ00,       .,       .,       .,2865
786,2030170,A048710,A018982,PV30    ,2022JJ00,       .,       .,       .,2888
787,2030190,A048709,A018984,PV28    ,2019JJ00,       9,      21,     2.0,3343
788,2030200,A048710,T001093,PV31    ,2019JJ00,     186,    1070,    44.0,775
789,2030200,A048709,T001093,PV21    ,2022JJ00,     218,    1352,    52.3,2478
790,2030240,A048709,A018982,PV29    ,2020JJ00,       .,       .,       .,1689
791,2030220,A048710,T001093,PV30    ,2021JJ00,     106,    1531,    40.4,2622
792,2030220,A048709,A018981,PV27    ,2022JJ00,       4,     234,     5.6,2354
793,2030250,A048710,A048584,,2019JJ00,      13,       .,     6.2,2768
794,2030250,A048710,A018986,PV26    ,2021JJ00,       .,       .,       .,1050
795,2030230,A048709,A018981,PV21    ,2022JJ00,       .,       .,       .,320
796,2030240,A048710,A018982,PV27    ,2020JJ00,       .,       .,       .,2228
797,2030190,A048709,T001093,PV20    ,2018JJ00,      30,     322,    11.0,3242
798,2030210,A048709,A018985,PV30    ,2020JJ00,       .,       .,       .,1689
799,2030230,A048709,A018986,PV21    ,2021JJ00,       .,       .,       .,1501
800,2030200,A048710,A018985,PV21    ,2019JJ00,      28,      24,     6.3,1315
801,2030170,A048710,A048584,PV21    ,2022JJ00,       .,       .,       .,1513
802,2030220,A048710,A018986,PV28    ,2021JJ00,       3,       .,       .,1861
803,2030210,A048710,A018981,PV26    ,2018JJ00,       5,     198,     5.5,1005
804,2030240,A048710,A018986,PV29    ,2022JJ00,       .,       .,       .,2502
805,2030220,A048710,A018986,PV24    ,2022JJ00,       .,       .,       .,944
806,2820740,A048710,A048584,PV26    ,2022JJ00,       .,       .,       .,2918
807,2030250,A048710,A018981,,2021JJ00,       .,       .,       .,1807
808,2030220,A048709,A018985,PV20    ,2019JJ00,       .,       .,       .,2303
809,2030170,A048710,A018984,PV23    ,2021JJ00,      48,     196,    14.5,1856
810,2030240,A048710,A018981,PV20    ,2021JJ00,       .,       .,       .,1636
811,2030240,A048709,T001093,PV23    ,2021JJ00,     118,    1080,   121.3,2078
812,2030200,A048709,A018982,PV20    ,2018JJ00,       .,       .,       .,1340
813,2030200,A048709,A048584,PV26    ,2018JJ00,      18,     192,     5.4,573
814,2030200,A048709,A018982,PV28    ,2020JJ00,       5,      33,     2.4,1271
815,2030190,A048710,A018981,PV22    ,2018JJ00,       .,       .,       .,902
816,2820740,A048709,T001093,PV22    ,2018JJ00,      26,     932,    15.2,3253
817,2030220,A048710,A018981,PV29    ,2022JJ00,       .,       .,       .,3192
818,2820740,A048710,A018981,PV23    ,2021JJ00,       .,       .,       .,1505
819,2030170,A048710,A018981,PV25    ,2020JJ00,       .,       .,       .,3133
820,2030210,A048709,T001093,PV21    ,2021JJ00,      29,     415,    15.1,1702
821,2030240,A048709,A018985,PV31    ,2019JJ00,      56,     210,    51.0,3422
822,2820740,A048710,A018982,PV28    ,2021JJ00,       .,       .,       .,864
823,2030170,A048710,A018982,PV23    ,2022JJ00,       .,       .,       .,3463
824,2030250,A048710,A018986,PV26    ,2022JJ00,       .,       .,       .,3483
825,2030200,A048710,A018985,PV22    ,2020JJ00,       .,       .,       .,2844
826,2030210,A048710,A018981,PV22    ,2021JJ00,       .,       .,       .,125
827,2820740,A048710,T001093,PV30    ,2020JJ00,      26,     620,    12.9,1062
828,2030200,A048709,T001093,PV20    ,2022JJ00,     208,    1095,    46.2,2630
829,2030220,A048709,A018986,PV28    ,2019JJ00,       .,       .,       .,2202
830,2030200,A048710,A018981,PV23    ,2022JJ00,       .,       .,       .,3031
831,2030200,A048710,T001093,PV24    ,2019JJ00,     192,    1177,    46.8,3295
832,2030250,A048709,A018985,,2019JJ00,      14,      14,     2.8,3479
833,2030210,A048710,T001093,PV26    ,2022JJ00,      73,     579,    28.5,2870
834,2030200,A048710,A018984,PV20    ,2018JJ00,      66,     130,    12.6,1534
835,2030240,A048710,A018981,PV25    ,2022JJ00,       .,       .,       .,2530
836,2030250,A048709,A018985,PV28    ,2019JJ00,      16,      17,     3.2,610
837,2030250,A048710,A018982,PV29    ,2020JJ00,       .,       .,       .,888
838,2030250,A048710,A018982,PV22    ,2022JJ00,       .,       .,       .,3054
839,2030170,A048710,T001093,PV22    ,2019JJ00,     175,    3750,    77.4,3426
840,2030210,A048710,A048583,PV28    ,2018JJ00,       5,      90,     2.4,1688
841,2030220,A048709,A018984,PV30    ,2019JJ00,      20,      73,     6.2,1212
842,2030170,A048709,A048584,PV28    ,2020JJ00,       4,      69,     1.9,1817
843,2030170,A048709,A048583,PV22    ,2018JJ00,     122,    3285,    58.2,181
844,2030210,A048709,A018986,PV23    ,2022JJ00,       .,       .,       .,855
845,2030230,A048709,T001093,PV30    ,2022JJ00,     164,    2048,    78.2,1556
846,2030210,A048710,T001093,PV28    ,2019JJ00,      85,     677,    32.9,2604
847,2030190,A048709,A018982,PV20    ,2022JJ00,       .,       .,       .,2229
848,2030190,A048709,A018982,PV23    ,2019JJ00,       .,       .,       .,1551
849,2030250,A048709,A018984,PV22    ,2022JJ00,       .,       .,       .,2515
850,2030210,A048709,A018985,PV24    ,2019JJ00,       .,       .,       .,2131
851,2030210,A048709,A018985,PV30    ,2021JJ00,       .,       .,       .,1814
852,2030250,A048709,T001093,PV30    ,2022JJ00,     120,    1059,    34.3,1069
853,2030250,A048710,A018986,PV28    ,2019JJ00,       3,       .,     1.8,823
854,2030190,A048709,A018981,PV21    ,2020JJ00,       .,       .,       .,2386
855,2030170,A048710,A018985,PV24    ,2020JJ00,       .,       .,       .,1915
856,2030190,A048710,A018981,PV20    ,2021JJ00,       .,       .,       .,315
857,2820740,A048709,A018986,PV25    ,2020JJ00,       7,     209,     4.2,2216
858,2030200,A048710,T001093,PV26    ,2021JJ00,     215,     945,    47.0,2461
859,2030240,A048709,T001093,PV22    ,2018JJ00,      68,     643,    66.9,445
860,2030200,A048709,A018986,PV25    ,2018JJ00,       .,       .,       .,3445
861,2030170,A048710,A048584,PV28    ,2018JJ00,       6,     125,     3.3,809
862,2820740,A048709,A018986,PV26    ,2019JJ00,       .,       .,       .,3135
863,2030230,A048709,A018986,PV31    ,2022JJ00,       .,       .,       .,2395
864,2030220,A048710,A018982,PV27    ,2021JJ00,       .,       .,       .,590
865,2030240,A048710,T001093,PV27    ,2020JJ00,      89,     662,    95.3,3019
866,2030250,A048710,A018981,PV24    ,2020JJ00,       .,       .,       .,1670
867,2030240,A048710,A018981,PV21    ,2018JJ00,       .,       .,       .,157
868,2030240,A048709,A018985,PV30    ,2018JJ00,      50,     161,    38.6,293
869,2030210,A048709,T001093,PV23    ,2021JJ00,      36,     450,    18.9,2368
870,2030220,A048710,T001093,PV29    ,2018JJ00,      99,    1773,    41.4,707
871,2820740,A048710,A018985,PV22    ,2022JJ00,       .,       .,       .,1766
872,2030200,A048710,A018986,PV27    ,2019JJ00,       .,       .,       .,3491
873,2030170,A048709,T001093,PV23    ,2021JJ00,     163,    2547,    62.4,1698
874,2030250,A048710,A018986,PV28    ,2022JJ00,       .,       .,       .,778
875,2030230,A048710,T001093,PV20    ,2018JJ00,     184,    2449,    93.1,3045
876,2030170,A048709,T001093,PV29    ,2019JJ00,     186,    3553,    82.5,1785
877,2030230,A048710,T001093,PV29    ,2021JJ00,     132,    1662,    71.0,2529
878,2030230,A048710,A048584,PV20    ,2020JJ00,       .,       .,       .,1601
879,2820740,A048710,A018981,PV28    ,2018JJ00,       .,       .,       .,3494
880,2030200,A048710,A018982,PV30    ,2019JJ00,       .,       .,       .,2539
881,2030250,A048709,A018985,PV21    ,2019JJ00,       .,       .,       .,2421
882,2030210,A048709,A048583,PV24    ,2019JJ00,       .,       .,       .,1351
883,2820740,A048709,A018986,PV22    ,2019JJ00,       .,       .,       .,1446
884,2030240,A048709,T001093,PV24    ,2018JJ00,      58,     881,    75.3,1138
885,2030190,A048709,A018982,PV24    ,2021JJ00,       .,       .,       .,2082
886,2820740,A048710,A018982,PV20    ,2020JJ00,       .,       .,       .,2434
887,2030200,A048710,A048583,PV27    ,2022JJ00,      56,     414,    13.7,820
888,2030210,A048709,A018985,PV23    ,2019JJ00,       .,       .,       .,3256
889,2030240,A048710,A048583,PV26    ,2020JJ00,       7,     180,     7.1,2976
890,2030210,A048710,A018982,PV21    ,2020JJ00,       .,       .,       .,1888
891,2030250,A048709,A048583,PV29    ,2021JJ00,      61,     843,    19.0,126
892,2820740,A048710,A018984,PV29    ,2021JJ00,       .,       .,       .,2921
893,2030170,A048709,A018981,PV25    ,2022JJ00,       7,     355,     9.3,3365
894,2030200,A048709,A018984,PV22    ,2018JJ00,      55,     148,    12.6,212
895,2030210,A048710,T001093,PV21    ,2020JJ00,      45,     406,    16.4,980
896,2030240,A048710,A018984,PV31    ,2022JJ00,      11,     211,    22.0,1802
897,2030200,A048709,T001093,PV27    ,2021JJ00,     221,     861,    52.1,3486
898,2030200,A048710,A018986,PV22    ,2019JJ00,       .,       .,       .,997
899,2030190,A048710,T001093,PV21    ,2021JJ00,      29,     236,     7.7,2497
900,2030190,A048709,A018982,PV20    ,2020JJ00,       .,       .,       .,2877
901,2030240,A048710,A048583,PV30    ,2020JJ00,       6,     146,     7.6,1536
902,2030190,A048710,A018984,PV31    ,2019JJ00,       .,       .,       .,2799
903,2030250,A048710,A048583,PV27    ,2018JJ00,      47,     636,    16.4,1386
904,2030170,A048709,A018986,PV31    ,2022JJ00,       .,       .,       .,445
905,2030170,A048710,T001093,PV31    ,2021JJ00,     139,    2135,    53.2,2519
906,2030240,A048710,A048584,PV24    ,2020JJ00,       .,       .,       .,2949
907,2030250,A048709,A018986,PV25    ,2019JJ00,       .,       .,       .,3035
908,2030200,A048710,A018986,PV31    ,2020JJ00,       .,       .,       .,720
909,2030220,A048709,T001093,PV27    ,2022JJ00,      85,    1811,    45.1,2736
910,2820740,A048710,A018981,PV21    ,2019JJ00,       .,       .,       .,1570
911,2030210,A048710,A018985,PV25    ,2020JJ00,       .,       .,       .,3256
912,2030200,A048710,A018984,PV23    ,2019JJ00,      71,     152,    15.2,2827
913,2030200,A048709,T001093,PV26    ,2019JJ00,     209,    1055,    50.3,3385
914,2030230,A048709,T001093,PV20    ,2021JJ00,     107,    1676,    63.1,241
915,2030230,A048709,A018986,PV28    ,2018JJ00,       5,       .,       .,3002
916,2030240,A048710,A048584,PV25    ,2022JJ00,       .,       .,       .,941
917,2030170,A048710,A018981,PV23    ,2022JJ00,       .,       .,       .,1647
918,2820740,A048710,T001093,PV25    ,2018JJ00,      28,     873,    17.3,3169
919,2030200,A048710,A018986,PV31    ,2022JJ00,       .,       .,       .,557
920,2030230,A048709,A048583,PV31    ,2022JJ00,      54,     760,    20.2,2607
921,2030250,A048709,A048584,PV25    ,2022JJ00,       8,     157,     3.4,337
922,2030170,A048710,A018982,PV28    ,2021JJ00,       5,      70,     3.9,1635
923,2030200,A048709,T001093,PV27    ,2020JJ00,     207,     824,    46.9,3408
924,2030250,A048709,A048583,PV24    ,2021JJ00,      54,     870,    19.1,1460
925,2030220,A048710,A048584,PV30    ,2019JJ00,      25,     773,    13.6,719
926,2030250,A048709,A018986,PV22    ,2019JJ00,       .,       .,       .,2180
927,2030170,A048709,A018981,PV30    ,2018JJ00,       7,     343,     8.1,2053
928,2030240,A048709,A018982,PV28    ,2022JJ00,       .,       .,       .,2364
929,2820740,A048709,T001093,PV24    ,2022JJ00,      30,       .,       .,302
930,2030230,A048710,A018984,PV31    ,2020JJ00,      29,     136,    13.1,2
931,2030250,A048709,T001093,PV20    ,2020JJ00,      97,    1047,    26.8,2055
932,2820740,A048709,A018984,PV21    ,2018JJ00,       .,       .,       .,2340
933,2030230,A048710,A018986,PV23    ,2018JJ00,       .,       .,       .,2294
934,2030210,A048710,A018984,PV30    ,2019JJ00,      38,     141,    11.1,2654
935,2820740,A048709,A018981,PV31    ,2021JJ00,       .,       .,       .,76
936,2030170,A048709,A018981,PV23    ,2019JJ00,       .,       .,       .,1121
937,2030250,A048709,A018986,PV26    ,2020JJ00,       .,       .,       .,2096
938,2030230,A048709,A048583,PV28    ,2021JJ00,      34,     724,    17.2,113
939,2820740,A048709,A018982,PV29    ,2019JJ00,       .,       .,       .,1657
940,2030240,A048709,A018984,PV27    ,2019JJ00,      10,     150,    20.7,1540
941,2030250,A048709,T001093,PV26    ,2020JJ00,     110,    1050,    33.8,27
942,2030170,A048709,A018981,PV30    ,2022JJ00,       .,       .,       .,386
943,2030200,A048710,A018985,PV25    ,2019JJ00,      27,      28,     5.4,1237
944,2030230,A048710,A048584,PV27    ,2022JJ00,      27,     661,    16.6,6
945,2030210,A048709,A018986,PV26    ,2019JJ00,       .,       .,       .,2183
946,2030220,A048710,A018984,PV29    ,2022JJ00,       .,       .,       .,273
947,2820740,A048709,A018985,PV31    ,2022JJ00,       .,       .,       .,1146
948,2030210,A048710,A048584,PV28    ,2021JJ00,       5,      44,     1.6,3264
949,2030250,A048709,A048583,PV21    ,2018JJ00,      65,     943,    20.5,1075
950,2030200,A048709,A018986,PV24    ,2019JJ00,       .,       .,       .,765
951,2030250,A048710,A018982,PV28    ,2020JJ00,       2,      16,     1.2,2410
952,2030200,A048709,A018984,PV31    ,2021JJ00,      34,      67,     6.5,2650
953,2030220,A048709,A048583,PV21    ,2021JJ00,      39,    1213,    23.1,3501
954,2030220,A048709,A018984,PV26    ,2022JJ00,      24,     102,     7.7,809
955,2030230,A048710,A018981,PV26    ,2022JJ00,       5,     217,     7.1,317
956,2030200,A048710,A018985,PV27    ,2021JJ00,      67,      59,    12.9,2593
957,2030200,A048710,A048583,PV30    ,2020JJ00,      87,     550,    18.0,410
958,2030170,A048709,A018982,PV27    ,2020JJ00,       8,      97,     5.9,3246
959,2030230,A048709,A048584,PV21    ,2019JJ00,      32,    1096,    24.7,838
960,2030220,A048709,A048583,PV22    ,2020JJ00,      33,     730,    13.7,121
961,2030210,A048710,A018985,PV23    ,2021JJ00,       .,       .,       .,2575
962,2030220,A048709,A018982,PV31    ,2018JJ00,       .,       .,       .,3185
963,2820740,A048709,A048583,PV27    ,2022JJ00,      14,     398,     7.8,508
964,2030210,A048710,A018982,PV22    ,2020JJ00,       .,       .,       .,1147
965,2820740,A048710,A018981,PV25    ,2021JJ00,       .,       .,       .,2673
966,2030200,A048709,A018985,PV31    ,2022JJ00,      47,      44,    10.1,241
967,2030170,A048710,A018985,PV30    ,2018JJ00,       7,      13,       .,3212
968,2030250,A048710,A018984,PV26    ,2020JJ00,      29,      67,     6.7,2133
969,2030220,A048709,A018986,PV24    ,2019JJ00,       .,       .,       .,2694
970,2030220,A048710,A018986,PV20    ,2021JJ00,       .,       .,       .,1311
971,2030250,A048710,A018985,PV22    ,2019JJ00,       .,       .,       .,256
972,2030240,A048709,A048584,PV25    ,2020JJ00,       4,      78,     5.1,2723
973,2030170,A048709,A018986,PV26    ,2019JJ00,       .,       .,       .,2563
974,2820740,A048709,T001093,PV26    ,2018JJ00,      26,     876,    17.9,2124
975,2030190,A048709,A018985,PV22    ,2021JJ00,       .,       .,       .,376
976,2030210,A048709,A018985,PV25    ,2022JJ00,       .,       .,       .,828
977,2030190,A048709,T001093,PV20    ,2020JJ00,      25,     229,     7.2,1934
978,2030230,A048710,T001093,PV22    ,2018JJ00,     177,    2589,    87.8,3160
979,2030230,A048710,A018986,PV21    ,2022JJ00,       .,       .,       .,2241
980,2030190,A048709,A048584,PV27    ,2022JJ00,       4,      51,     1.6,1846
981,2030250,A048710,A048583,PV29    ,2018JJ00,      54,       .,    16.9,2279
982,2030200,A048710,A048583,PV27    ,2018JJ00,      59,     438,    15.1,1144
983,2030170,A048710,A048584,PV24    ,2022JJ00,       .,       .,       .,963
984,2030170,A048710,A048583,PV29    ,2018JJ00,      96,    2232,    39.5,2765
985,2030170,A048710,A018986,PV31    ,2018JJ00,      17,     321,     7.9,3287
986,2030240,A048709,A018985,PV30    ,2021JJ00,      98,     345,    81.5,464
987,2030240,A048709,A048584,PV22    ,2020JJ00,       .,       .,       .,1453
988,2030240,A048709,A018986,PV21    ,2022JJ00,       .,       .,       .,2907
989,2030210,A048710,A048583,PV22    ,2022JJ00,       .,       .,       .,501
990,2030250,A048710,A048583,PV24    ,2018JJ00,      69,     815,    19.7,3251
991,2030240,A048709,A018981,PV27    ,2018JJ00,       .,       .,       .,3195
992,2030240,A048709,A048583,PV21    ,2021JJ00,       .,       .,       .,1285
993,2030230,A048710,A018986,PV20    ,2019JJ00,       .,       .,       .,620
994,2030240,A048709,A018981,PV24    ,2018JJ00,       .,       .,       .,3253
995,2030230,A048709,A018985,PV25    ,2021JJ00,      21,      87,    15.0,3316
996,2030230,A048709,A018986,PV24    ,2022JJ00,       .,       .,       .,486
997,2820740,A048709,A048584,PV27    ,2021JJ00,       .,       .,       .,923
998,2030170,A048710,A018982,PV21    ,2018JJ00,       .,       .,       .,2148
999,2030190,A048709,A018981,PV25    ,2020JJ00,       .,       .,       .,3219
1000,2030230,A048709,A048583,PV26    ,2021JJ00,      36,     682,    16.9,2586
1001,2820740,A048710,A018981,PV22    ,2018JJ00,       .,       .,       .,461
1002,2030220,A048710,A018986,PV22    ,2018JJ00,       .,       .,       .,2592
1003,2030170,A048709,A018981,PV29    ,2020JJ00,       .,       .,       .,490
1004,2030220,A048709,A018985,PV20    ,2020JJ00,       .,       .,       .,105
1005,2030170,A048709,T001093,PV25    ,2022JJ00,     176,    3416,    84.0,2748
1006,2820740,A048710,A018981,PV26    ,2018JJ00,       .,       .,       .,3147
1007,2820740,A048710,A018982,PV23    ,2022JJ00,       .,       .,       .,1844
1008,2030230,A048709,A018982,PV21    ,2019JJ00,       .,       .,       .,1260
1009,2030250,A048709,A018982,PV31    ,2019JJ00,       .,       .,       .,36
1010,2030240,A048709,A048584,PV20    ,2022JJ00,       .,       .,       .,2672
1011,2030220,A048709,T001093,PV27    ,2018JJ00,      98,    2676,    59.4,362
1012,2030210,A048710,A018984,PV31    ,2019JJ00,      32,     118,    10.1,1307
1013,2030210,A048710,T001093,PV29    ,2021JJ00,      49,     443,    16.0,3142
1014,2030170,A048710,A018986,PV20    ,2021JJ00,       .,       .,       .,2035
1015,2820740,A048710,A018982,PV31    ,2018JJ00,       .,       .,       .,11
1016,2030240,A048709,A048584,PV29    ,2021JJ00,       .,       .,       .,2219
1017,2030220,A048709,A048584,PV26    ,2019JJ00,      22,    1017,    17.1,1078
1018,2030250,A048710,A018984,PV22    ,2021JJ00,      33,      68,     6.0,2782
1019,2030170,A048709,A048584,PV24    ,2021JJ00,       .,       .,       .,203
1020,2030170,A048709,A018981,PV30    ,2019JJ00,       9,     432,    10.5,377
1021,2030230,A048710,A018982,PV28    ,2019JJ00,       8,      91,     5.7,2913
